         ps          /iirdf1_real_tb/dut/oIIR_TX    
          delta                                     
 1464357000  +1 11111111111110110101100001010011 
 1468523000  +1 11111111111110110011101011111000 
 1472689000  +1 11111111111110110001111011100011 
 1476855000  +1 11111111111110110000010000001101 
 1481021000  +1 11111111111110101110101001110000 
 1485187000  +1 11111111111110101101001000000110 
 1489353000  +1 11111111111110101011101011001001 
 1493519000  +1 11111111111110101010010010110011 
 1497685000  +1 11111111111110101000111110111110 
 1501851000  +1 11111111111110100111101111100101 
 1506017000  +1 11111111111110100110100100100010 
 1510183000  +1 11111111111110100101011101101110 
 1514349000  +1 11111111111110100100011011000100 
 1518515000  +1 11111111111110100011011100011111 
 1522681000  +1 11111111111110100010100001111001 
 1526847000  +1 11111111111110100001101011001100 
 1531013000  +1 11111111111110100000111000010011 
 1535179000  +1 11111111111110100000001001001001 
 1539345000  +1 11111111111110011111011101101000 
 1543511000  +1 11111111111110011110110101101011 
 1547677000  +1 11111111111110011110010001001101 
 1551843000  +1 11111111111110011101110000001001 
 1556009000  +1 11111111111110011101010010011001 
 1560175000  +1 11111111111110011100110111111000 
 1564341000  +1 11111111111110011100100000100001 
 1568507000  +1 11111111111110011100001100001111 
 1572673000  +1 11111111111110011011111010111101 
 1576839000  +1 11111111111110011011101100100111 
 1581005000  +1 11111111111110011011100001000111 
 1585171000  +1 11111111111110011011011000011000 
 1589337000  +1 11111111111110011011010010010110 
 1593503000  +1 11111111111110011011001110111101 
 1597669000  +1 11111111111110011011001110001000 
 1601835000  +1 11111111111110011011001111110010 
 1606001000  +1 11111111111110011011010011110111 
 1610167000  +1 11111111111110011011011010010011 
 1614333000  +1 11111111111110011011100011000010 
 1618499000  +1 11111111111110011011101101111111 
 1622665000  +1 11111111111110011011111011000110 
 1626831000  +1 11111111111110011100001010010011 
 1630997000  +1 11111111111110011100011011100010 
 1635163000  +1 11111111111110011100101110101111 
 1639329000  +1 11111111111110011101000011110110 
 1643495000  +1 11111111111110011101011010110011 
 1647661000  +1 11111111111110011101110011100010 
 1651827000  +1 11111111111110011110001101111111 
 1655993000  +1 11111111111110011110101010000111 
 1660159000  +1 11111111111110011111000111110110 
 1664325000  +1 11111111111110011111100111001000 
 1668491000  +1 11111111111110100000000111111010 
 1672657000  +1 11111111111110100000101010001001 
 1676823000  +1 11111111111110100001001101110010 
 1680989000  +1 11111111111110100001110010110001 
 1685155000  +1 11111111111110100010011001000011 
 1689321000  +1 11111111111110100011000000100101 
 1693487000  +1 11111111111110100011101001010011 
 1697653000  +1 11111111111110100100010011001010 
 1701819000  +1 11111111111110100100111110001000 
 1705985000  +1 11111111111110100101101010001001 
 1710151000  +1 11111111111110100110010111001010 
 1714317000  +1 11111111111110100111000101001001 
 1718483000  +1 11111111111110100111110100000010 
 1722649000  +1 11111111111110101000100011110011 
 1726815000  +1 11111111111110101001010100011001 
 1730981000  +1 11111111111110101010000101110010 
 1735147000  +1 11111111111110101010110111111011 
 1739313000  +1 11111111111110101011101010110010 
 1743479000  +1 11111111111110101100011110010101 
 1747645000  +1 11111111111110101101010010100001 
 1751811000  +1 11111111111110101110000111010011 
 1755977000  +1 11111111111110101110111100101001 
 1760143000  +1 11111111111110101111110010100001 
